username,dates,location,rating,comment,useful,funny,cool,WeekDay,State
Roger S.,2020-12-21,"Plano, TX",5,"This place is awesome! The menu is innovative and fun. You can choose a variety of sliders to try, and I suggest this method. There are just so many that sound delicious,  it will take me a few trips to get through the menu.So far, my favorite slider is the PBJ.  Wagyu beef is the base of all the topping, so you know you are about to bite in to something good. I have enjoyed several choices, such as the Juicy Lucy and the Popper.  There are also chicken options that sound really delicious, but Man, this is WAGYU,  so hard to pass up!For other reasons to go, good fries that you can dress up with toppings.  The nacho fries were great.But, now for the true story. I was not going to order a shake, but my friend got one to share. Pistachio and Mint shake,  like who freaking knew? This shake was thick and creamy with perfectly balanced flavors. I definitely had more than my share. As I write this, my taste buds are crying for another shake.They also have Craftsman type sodas.  There are some interesting flavors,  but I like my burgers with root beer. Oh, and they have wine and beer too.Oddly, my friend ordered the Richard's Rainwater, just to see. That stuff was like drinking from a artesian well! Just a side note in case you need something to chase that shake.Now for other facts, cool atmosphere,  super fun staff who really strive for you to have a great experience.  The patio is a fun place to chill and people watch while you social distance.Enjoy!",1,0,0,lunes,TX
Chad C.,2020-12-21,"Frisco, TX",5,"Best slider I've ever eaten. So much flavor and was cooked perfectly. Will be coming back often. Oh, and you have to try the nacho fries. So good!!",0,0,0,lunes,TX
Isabel S.,2020-12-21,"Dallas, TX",5,"Great sliders, the perfect price and size. The PBJ is my fav, the fries are so crispy and tasty as well. I also love the selection of craft sodas. The staff was very quick and friendly. The seating outside is so cute! Will be returning.",2,0,1,lunes,TX
Dominique A.,2020-12-22,"East Downtown, Houston, TX",5,The Nacho fries were very good and the variety of sliders too. I absolutely enjoyed the cookie butter shake here & will be sure to pass along this info. The staff here  was friendly and helpful assisting with my order.,0,0,1,martes,TX
Max P.,2020-12-26,"Benbrook, TX",5,I came in for the first time last night and was blown away. The selections for the sliders were wonderful and include chicken and veggie options. I got the Philly cheesesteak and nashbird hot chicken sliders and both were great. To top it off I ordered a side of fries and their butcher blonde beer. Would definitely go back and sit on their great patio again.,0,0,0,sábado,TX
Chrissy D.,2020-12-26,"Frisco, TX",5,Delicious sliders (small burgers) of all different flavor combinations! My personal fav is the PB&J - don't knock it til you try it!! Order multiple and try them all. The fries and cheese curds are so good too. Don't forget to get a milkshake (and make it boozy!) Great atmosphere and outdoor seating.,1,0,0,sábado,TX
Rhonda T.,2020-12-27,"Rowlett, TX",3,Nice vibe. Great patio. Friendly service.  Cheese curds were good and a welcomed menu option.  All of the chicken sandwiches are dark meat.  I was not prepared for that and wish I had known before ordering.  If that doesn't bother you then you will probably like them!,0,0,0,domingo,TX
Travis M.,2020-12-27,"Dallas, TX",5,"Stopped in on a whim while driving around lower Greenville. I felt that a 5 star review was necessary after encounters with very friendly staff even close to closing. Welcoming environment with a very unique selection of well priced sliders, I would highly recommend.",0,0,0,domingo,TX
Sandra W.,2020-12-29,"West Dallas, Dallas, TX",5,"I placed an online order for 8 different sliders, a side of nacho fries, waffle fries and the cheese curds and drove to their pickup window. The guy at the window was friendly and they had my order ready 5 minutes earlier than my specified time. No issues with the order. Their pricing is on par with most other quality burger places. Between me, my husband and my 19 y/o son, we couldn't finish all the food. Everything was good, but the stand out item for me was the Sticky Chicken, just wow. My ""don't you dare put a vegetable on my burger"" son even said he loved it and we wished we had gotten more than just one. Fries and nacho fries were good. The cheese curds were okay. I think they would have been great, but it looked like they didn't let the grease drip off enough and by the time I got home they were sitting in a pool of oil which made the breading soggy. I'll definitely be back.",0,0,0,martes,TX
Terrance W.,2020-12-29,"Dallas, TX",5,I am so happy Son of Butcher has arrived to the neighborhood.  They have put installed a pick up window and reserved spots behind the restaurant for parking. The staff was really helpful. It was my first time there and they were patient enough to explain the menu and gave me time to figure out what I was going to order. Finally the food I had was amazing. I had three different sliders and waffle fries and they all were really good.,0,0,0,martes,TX
Nikki S.,2020-12-31,"Dallas, TX",5,Omg! Been wanting to try this for a while but it exceeded expectations! Friendliest service I've had in a while despite everything going on in the world! So pumped to have found a place for a handmade shake and unique sliders within walking distance!,0,0,0,jueves,TX
David R.,2020-12-31,"Santa Clarita, CA",5,Holy Booze! The Boozy Milk Shakes are delicious and strong! Covid friendly seat spacing and lots of outdoor seating available (with heaters!) Dog friendly outside as well. Great staff and service!,0,0,0,jueves,CA
Ash A.,2020-12-31,"CA, CA",4,"To start 2021 right, we had to sincerely say adios to 2020...SOB...here is a challenge for all of u to find a more appropriate namesake for 2020!This is a slider joint with fairly limited but well curated menu options. U can order 1, 2 or 3 sliders with fries and shakes. Wify & I ordered 3 each, I ate five...In a word: worthyWify ordered:1. The popper: liked it, little sweet but nice creamy popper kick2. TX Philly: loved it! Major kick & loads of flavor 3. Sticky Chick: too sweet, passed it to me after a bite  :) :) :) I liked it since I don't mind the sweetness4. Crispy waffle fries: decent - crispy & fresh but a bit oily Mi order:1. The popper: good but little cheesy...glad I tried it, however will try others on the menu next time2. Burnt Ends: loved it...very good. Just the right balance of meat for the slider and very juicy3. Nashville Hot: average, was expecting Lucky's hot chicken heat...this was much tamer. Again will chk out other menu items4. Buffalo blue fries: didn't care much for the combination...not for my palate, others may enjoy 5. Swanky Blueberry Cobbler Shake: it was a slippery slope - first few sips 'Great!!' and after that it got too sweet & 'Suck'ed...for reference check out Seinfeld's 'Sucks & Great' on YouTube Overall..this little place gave us 2020 closure. Just for that & service it's 5 stars...Food is 3.5 stars#RepeatRestaurant #globetrotterash",11,2,11,jueves,CA
Amanda J.,2021-01-02,"Murphy, TX",5,"I have nothing but praise for the restaurant. Immediately walking in, the staff were so kind and welcoming. They made sure we had everything we wanted and always checked in on us to make sure our dining experience was good. It was! I'm so excited to see their murals soon when they're completed! I got the 3-Slider meal with Fried Chicken, Nashville Hot Chicken, and Burnt Ends. All had such good flavor and were so unique! I also ordered a Blueberry Cobbler Shake which was my absolute favorite! It taste just like a big ol' slice of cobber with ice cream ontop. Absolutely incredible. I wanna come back and try their cheese curds! I didn't get to it this time but they look amazing. I also wanna try all the other flavors of sliders they have! They're all so unique and innovative. I just wanna stuff my face with sliders.",0,0,0,sábado,TX
Henry K.,2021-01-07,"Irving, TX",5,"Went to pick up the sliders two days in a row because it's that good! Not to mention how convenient the mobile pickup window is! Our favorites for the sliders are PB&J, Sticky Chick, and TX Philly. The Blueberry Cobbler shake was as sweet as heaven!",1,0,1,jueves,TX
Chloe B.,2021-01-07,"East Riverside - Oltorf, Austin, TX",5,Sooo yummy! They have a large and diverse selection of sliders. I got the sticky chick and popper sliders. Both were AMAZING. The staff was super friendly and helpful. I will definitely be back!,0,0,0,jueves,TX
Tanner R.,2021-01-08,"Dallas, TX",5,"Unique spot for absurdly good sliders and fries. Been there a couple of times since they opened, and have loved everything on the menu. Looking forward to warmer weather for their patio. Open late.",0,0,0,viernes,TX
Jeremy P.,2021-01-08,"Dallas, TX",5,Food is incredible. Amazing concept. Great service. This place is gonna kill it. Try it out before the line is down the street!,0,0,0,viernes,TX
patricia c.,2021-01-14,"Northlake, TX",5,"Amazing find! Food was so delicious and lots of great choices for sliders! My favorite was the jalapeño popper one, hands down the best slider I've ever had. We went this past weekend and it was absolutely freezing outside, but they have portable outdoor heaters which were a real treat to be able to enjoy your food outside on their picnic tables. The inside tables were separated and only very other table was able to be used, the registers have the clear shield & also all employees were wearing masks PROPERLY!!!! A HUGE plus, thank you so much for that!!!! The line to order was pretty long and stayed that way the entire time we were there but the wait wasn't long as they were moving pretty quickly. The only down side was when we were at the counter ordering the poor girl wasn't able to hear us because of all the noise around and we had to repeat to her a few times but she got everything correct on the order, the person behind us saw our interaction and I noticed they wrote down their order on their phone and just showed her, so smart! Overall the food was delicious and the staff was very friendly, even came outside walking around all the tables to see how all the food was and if anyone needed anything. Glad we found y'all, we'll definitely be back!",0,0,0,jueves,TX
Brian S.,2021-01-15,"Valrico, FL",5,"Great ambiance, great food, great location, great service. Favorite was the burnt ends",0,0,0,viernes,FL
Victoria C.,2021-01-19,"Birmingham, AL",5,"Delicious. Great service, we had the cookie butter shake and the blueberry cobbler. So so so goood. We had a variety of the sliders and waffles fries. Next time I'll have to take pictures",0,0,0,martes,AL
Conrad L.,2021-01-20,"Victory Park, Dallas, TX",4,"Great new spot with a ton of open outdoor seating and heaters. Inside is cool too. Good selection of sliders that all looked good. Didn't have any sides available though as they were sold out. Only a month old and the sliders were good enough for me to give em a pass. Will be back, hopefully with sides.",0,0,0,miércoles,TX
Javier M.,2021-01-22,"Naples, FL",5,"So glad SOBs opened in the neighborhood. Have tried almost every slider on the menu. PB&J and Burnt Ends are my favorites. Sticky Chicken has a kick, with a nice Asian flavor to it. Highly recommend!",0,0,0,viernes,FL
Siobhan D.,2021-01-22,"Dallas, TX",5,"So I went here on a Friday night around 8 o'clock and wow it was fast! They have outdoor heaters, a clean whitewashed, turf and picnic table set up that's super cute and good for large and small groups. Food came out quickly, they text you when it's ready so you can sit outside (inside had loud music) the milkshakes and cheese fries (it's almost like queso)  were incredible and the food was very well priced. Can't wait to go back!",0,0,0,viernes,TX
Caroline C.,2021-01-22,"Dallas, TX",4,"My husband and I tried Son of a Butcher out last week for lunch during the week.  Parking was easy, the staff was friendly, and the Covid protocols seemed to be pretty good.  Parking is likely to be a pain on the weekends or at night. The menu has some options that sound really interesting so we tried 6 different sliders and an order of cheese curds.  The cheese curds were good but didn't squeak like a true cheese curd should. The sliders were good, but a few of them weren't quite as flavorful as the descriptions.  The prices were a little high relative to size and quality. There could possibly be more of the ingredients listed included in each slider.  The indoor and outdoor seating is all great and we loved the location. Order at the counter, plenty of patio seating.",0,0,0,viernes,TX
Dannye V.,2021-01-27,"Cedar Hill, TX",5,"Phenomenal. In every way this place is great. The people even more so than the food, and it's probably my favorite burger place in town.",0,0,0,miércoles,TX
Brittany M.,2021-01-27,"Dallas, TX",5,Okay YUM!!!!!! Let's start with the cookie butter milkshake which might be my favorite milkshake EVER. Seriously so so good. It's hard to pick my favorite slider. The Nashville hot chicken with pimento cheese was fab but i asked for ranch to cool it down a bit. The spicy cheese curds are a MUST!! We also tried the gonzo and the popper. There's plenty of seating outside and their patio has heaters too.,0,0,1,miércoles,TX
Nick C.,2021-01-28,"Oak Lawn, Dallas, TX",5,"Although I had mixed feelings about the PB&j burger, I was really surprised by the creativity of these sliders. It was fun doing a blind taste test trying to figure out what's what.",0,0,0,jueves,TX
Shelley D.,2021-01-30,"Albuquerque, NM",2,"Coming from the creators of Velvet Taco, we expected bombastic flavors wrapped in tiny packages. Maybe it our expectations were too high, but the sliders were bland. We had the Nashville and Classic. The buns are dinner rolls and ours were untoasted-- they were also not fully separated and still connected on the back end, meaning the flavors all dripped out the front and the last bite was just bread. Lack of seasoning and condiments on the Classic meant we were left with a semi-warm patty on dry bread. Not a fan-- don't think we'll come try it out again unless with friends. Why would we when the #3 tikka masala at Velvet Taco is only on street away?",1,0,0,sábado,NM
Landon C.,2021-01-30,"New Orleans, LA",5,The service here is incredible! People were so nice and fun. Food was incredible. I had the Nashville Hot Chicken and the PB&J and both were so delicious. And complimented eachother really well.Finished it off with a Cookie Butter shake and was very good dessert cap. I will make this place a normal visit!!,0,0,0,sábado,LA
Sam H.,2021-01-31,"Dallas, TX",4,For a Saturday night this place was really poppin! The line was long but was moving pretty swiftly. We really liked that they had someone at the door watching the maximum capacity and everyone wore masks! We definitely loved the classic and Nashville. Very well cooked and while they are small portions they filled us up! Loved the outside heaters- will for sure make another visit!,1,0,0,domingo,TX
Tami K.,2021-02-04,"Dallas, TX",4,"Very cute outdoor dining, especially great if you have dogs. We ordered the dozen and the sliders were quite tasty. The fries were small in portion so not good for sharing. The shakes look great but we didnt get a chance to try. Wish they had a better beer and alcohol selection though. Would def come back for the atmosphere and food",0,0,0,jueves,TX
Hannah M.,2021-02-06,"Fort Worth, TX",2,"I heard great things about this new pop up in lower greenville and the restaurant was PACKED when we arrived. So we had high hopes! It was definitely overpriced for how tiny their sliders are. I'm not a big eater and I could probably eat 4-5. One of my orders (the Buffalo chicken) had great flavor on the sweet bun, but the chicken was terrible. It was not high quality white meat at all. I couldn't even swallow it after I took my first bite and looked at what I was eating. The only thing I gave this place two stars for was the milk shake! Cookie butter was a delicious after meal treat. A little disappointed and probably won't be returning.",0,0,0,sábado,TX
Charlie D.,2021-02-06,"Arlington, TX",5,"Second round of SOB and first time trying a swanky shake! It was most definitely a strong drink! I will be coming back to try a non alcoholic shake next time though because it looks like it would taste amazing. I can't get over their bbq sauce and of course the main course sliders! I got the pb&j , the popper and, sticky chicken. The popper was delicious and most definitely packs a kick. Pb&j was most definitely filled with a good amount of pb&j flowing out the sides of the slider as you take a bite! Yum!!!! The sticky chicken did have Thai flavors with another Asian flavor that I couldn't pin point! Very interesting but I probably won't be coming back for that ... most definitely select any of their other chicken sliders and be prepared for a flavor packed rollercoaster!!! Amazing customer service with a filling meal always a solid A+ in my book! Good luck with your new location and keep up the solid work!",0,0,0,sábado,TX
Amy W.,2021-02-06,"Garland, TX",5,"Stopped in for a quick bite, and they did not disappoint! I had the original, which was simple but  so good. I also had the Burnt Ends and The Popper.  They were both so damn good, but if you are going for only one, The Popper was insane!! We sat in the patio which is perfect and adorable. It is a place I will take all my friends for a light lunch with a perfect perfect spot for people watching.",0,0,0,sábado,TX
Emily L.,2021-02-12,"Dallas, TX",5,"OMGGGGGG this place is amazing and has some of the absolute best service ever!!!!!  The staff went out of their way to try to ensure the heat lamps were working and available for their patrons sitting outside on a cold winter's night.  The outside is super cute with the benches and super spacious.   They made some recommendations for our meals and were sure to check on how we liked their suggestions.  When a friend asked for jalapeños, he literally went and chopped some up totally fresh!  I haven't experienced such genuine and kind hearted service in a while and it definitely pays.Ok but on to the food- yum! I love the fried chicken and the classic wagyu.  The sliders are just the right size where you don't feel too guilty about eating too many but you also need about three to get full.  The baked cheese curds and the boozy blueberry cobbler rounded out my satisfying meal.  Yes- a boozy shake in an unexpectedly delicious flavor. Go try something new and live a little!  The price point is just right and 3 for $11.25 is solid. Will definitely be back.",15,8,20,viernes,TX
Priscilla H.,2021-02-16,"Dallas, TX",5,"Amazing crew for a new restaurant, they are few and far in between. Loved how clean and easy the layout is inside, super easy to place your order. The outdoor space is unreal. So much outdoor space to accommodate large or smaller groups. I cannot wait to go back in the summer. Their sliders are so so good. Loved just how simple the layout of the  menu was. Their shakes, OMG their shakes are so delicious, I've literally just gone back for a shake. Super courteous staff, well aware of everyone's needs. A round of applause!",0,0,1,martes,TX
Adria H.,2021-02-20,"Hills At Tealwood, Mesquite, TX",4,"I enjoyed the classic and tx philly. All the burgers are sliders. Their waffle fries are way more crispy than Chick-fil-a. I wish they offered alcohol in a more variety of drinks. It's only in the shakes. Nice quick lunch spot. Definitely not a dinner spot! Enjoyed our cashier, Brian, as well! He definitely made it more exciting.",0,0,0,sábado,TX
Emily M.,2021-02-23,"Flower Mound, TX",5,"We were so excited to try this place and it did not disappoint! We placed our order online and our food was ready in 20 mins. Their online ordering system is very user friendly. They have a convenient drive thru window where you pick up your order. Staff was super friendly! We ordered 2 Nashville Hot Fried Chickens without pimento cheese, 2 Buffalo Fried Chickens without blue cheese dressing and blue cheese crumbles, 1 Wagyu Burnt Ends, 1 Pork Meatball, Waffle fries, Spicy Cheese Curds, a Cookie Butter shake and a Blueberry shake. We're not fans of bleu cheese so we also ordered 2 sides of ranch and added it to our Buffalo Fried Chicken sliders. Everything was delicious! Our favorites were the Nashville Hot Chicken, Buffalo Fried Chicken, the Pork Meatball and the Spicy Cheese Curds. The Nashville Hot Chicken was delicious and had a great amount of heat to it. We thought it had better flavor than Palmer's Hot Chicken in Lakewood. The shakes were unique and tasty. Overall A+ experience! We can't wait to come back.",0,0,0,martes,TX
Devin B.,2021-02-26,"Rowlett, TX",4,"We had a really really great experience actually. We got 6 sliders in total:* meatball * classic  * Nashville chicken * the burnt end one x2* the egg/bacon one They were all so delicious. Seriously... The best one was the meatball to ME, my boyfriend really enjoyed the burnt end burger w/ the caramelized onions. SO GOOD. We always got the loaded nacho fries, and woooooo those were just as amazing. I did get a boozy shake, but I personally wasn't a fan, it was super sweet and grainy. BUT, if you like super sweet and vanilla vodka, this is up your alley. A worker always walked by and saw that I had an alcohol shake and offered to buy my daughter a shake and even let her choose which flavor she wanted. We were so impressed and had a great experience and will return and recommend to anybody!",2,0,0,viernes,TX
Julianna T.,2021-03-03,"Dallas, TX",3,"The sliders are pretty good. The nacho fries are probably good if they are eaten on the spot. Not so good when I got home. The kid loved it! Me, not so much",0,0,0,miércoles,TX
Alexis L.,2021-03-03,"Dallas, TX",5,So many options on the menu. The shakes are amazing. The cookie butter is fantastic. I need to go back soon.,0,0,0,miércoles,TX
Rebecca B.,2021-03-04,"Forney, TX",5,"Great food! Quick line, the ambience is beautiful, clean and comfortable. You feel totally IG worthy. Customer service was great. Got our refills and walked us through the menu",0,0,0,jueves,TX
Andrew F.,2021-03-05,"Dallas, TX",4,"This was my second time coming here. The first time everything was amazing Sliders, Cheese Curds, Shakes.All though this time I was really wanting a good shake so who better to go to than here? The chocolate shake was not drinkable at all it had a horrible Smokey/Burnt marshmallow taste. I ended up getting cheese curds as well again but those came out great.",0,0,0,viernes,TX
Ena O.,2021-03-05,"Fort Worth, TX",2,"Ordered online went to the window it wasn't ready, told us they would text when ready. Didn't get a text waited an extra 20 min to not be annoying since they said they would text finally went back and they gave us cold food. If it wasn't cold maybe it would have been better. The grease from the fried chicken soaked through and I got a nice soggy bun. The wagyu was cold too and just made it taste like regular burger.",0,0,0,viernes,TX
Hannah M.,2021-03-05,"Roanoke, TX",5,Delicious burgers and yummy shakes! Great location and fast service--overall a really great experience!,0,0,0,viernes,TX
Jules C.,2021-03-05,"Cypress, CA",5,"I really like this place. Food was great, vibe was great, price was great, customer service was great. All around a really nice vibe. The meatball slider and the Buffalo chicken slider was bomb. We also got a couple milkshakes, beer, and spicy cheese curds and they were all great. Very friendly staff who were awesome as well.",0,0,0,viernes,CA
Nisha R.,2021-03-06,"Dallas, TX",4,"Son of a Butcher does a body good. This restaurant is really fun and tasty. I love the outdoor seating. The menu is simple. The restaurant is clean and the staff was friendly. My experience was good. Let's talk about the food and drinks. TX Philly was my favorite. This slider was full of flavor. It packed a powerful punch in a few tiny bites. The caramelized onions were delicious. Yummy!Classic Slider gets an honorable mention. Nice flavor, but I needed some onions. The pickles and cheese and SOB sauce worked well. Waffle Fries were cooked perfectly. The perfect amount for watching my waistline. Lemonade was tart and not to sweet. I liked it, but others may wish it was sweeter. Cookie Butter Milkshake was PERFECT! I added the booze. OMG it was strong, but so freaking good. I definitely will go back for another shake. I left happy and full. This place exceeded my expectations. The name is cute and catchy. I look forward to trying the other location.I had to take a star off. They need someone cleaning the tables outside. This is my only issue especially with COVID. I wiped my own table down. Otherwise I would have given 5 stars.",3,0,0,sábado,TX
Peggy G.,2021-03-08,"Saint Louis, MO",5,"We called ahead for a pickup order.  The sliders and fries were delicious, food was hot, ready on time and staff was courteous and masked properly.  Will do business here again.",0,0,0,lunes,MO
Michael D.,2021-03-09,"Bellview, FL",5,"We love every restaurant in the Front Burner Restaurant Group so far, so we had to try there newest addition SOB-Son of a Butcher Slider Restaurant.What a great selection of Sliders for someone who wants to try everything.Ashley greeted us as we walked in and took our order, her Manager was quick calling & bringing our order to the table, but did not catch his name though.Chocolate Shake delicious and complimented my selection of Sliders.My 1st choice was Nashville Hot Chicken, it was perfect, Crispy, succulent & moist chicken thigh with Oil Based Nashville Hot Seasoning, Pimento Cheese and Pickles, Delicious!Pork Meatball was moist with melted Mozzarella, fresh basil and Marinara, perfect flavor combination.TX Waygu Philly was just ok, Burger was dry and over cooked, the Philly toppings were tasty, but it was my least favorite.Buffalo Fried Chicken was a mistake on our order, so we got to try it for free and it was delicious, perfect Buffalo flavor soaking into the crispy fried chicken, blue cheese tang and micro celery, tasty mistake.Cynthia ate the Ckn Fried Ckn without speaking a word, just the sound of satisfaction.Crispy Fried Chicken and gravy on a soft bun was comfort food heaven.Thank you SOB for a great 1st impression, we shall return!",0,0,0,martes,FL
Zarina S.,2021-03-13,"Cleveland, OH",5,"WOW is all there really is to say! Was looking forward to trying this new spot on my monthly trip in town to Dallas and it did not disappoint! Ambience- located in the heart of lower Greenville, this is a casual burger joint with an indoor dining option and a larger outdoor patio with benches and portable heaters. It is perfect for a quick bite on the go (drive-thru available), lunch with your buddies, or a late night food option. Service- amazing service staff- everyone is friendly, welcoming, and looks happy to be working there. They wear masks, and there is someone cleaning the tables and wiping down surfaces frequently. Food- by far the best sliders I've ever had! They have both chicken and wagyu beef options, and you can order 1, 2, or 3 in an order (roughly $3 each). I had the Texas slider which was packed with flavors of carmelized onion, Fresno chili, cheese and cilantro- AMAZING. My husband had the burnt ends slider which he enjoyed as well. The waffle fries are perfectly crisped, finished with a side of spicy cheese. Overall phenomenal food quality and flavor. Will definitely be coming back for more, can't wait to try their boozy shakes next time!!",0,0,0,sábado,OH
Dustin F.,2021-03-16,"West Hollywood, CA",1,Don't believe the hype. The only thing good here is the staff. My burger was dry. Buns taste cheap. I ordered the Lent fish sandwich and it was cold. The sliders are tiny and the fries are way over priced and covered in cheeses wiz. The outside is cute to have a beer but other than that it's a NO. Stick to Easy Slider in Deep Ellum where everything is always amazing.,1,0,0,martes,CA
Renada E.,2021-03-18,"Alexandria, VA",3,"Customer service was above par. Sliders were hit or miss, but that was a matter of the mixed preferences of the group that I was dining with. The hot chicken slider was so hot that I couldn't enjoy it as is. Let me say that I dig spicy food! I think that the sauce was maybe slathered on the bun as well, which was the kicker. Although, once I removed my bun, it was delicious!",0,0,0,jueves,VA
Andrew M.,2021-03-21,"Orlando, FL",4,Fat man approved. Get the Shamrock Shake. Andy's mints are chopped up in there. It's so good. If you need a cardiologist just let me know. I'll oh and ah about the shake. I was a little less excited by the sliders. I tried the regular beef and the burnt ends. I'll be back to try other items. I love the concept. I want our relationship to work.,0,3,0,domingo,FL
Evan R.,2021-03-24,"Baton Rouge, LA",4,"We spent a great evening at Son of a Butcher tasting sliders and enjoying their fried white cheddar cheese curds.  I loved the Burnt Ends slider and the ""sticky chick"".  I would say 2-3 sliders would be the equivalent of one regular sized burger.  The meat is clearly high quality, and they do a really good job of getting just the right cook.  The outdoor area is large and there are plenty of picnic tables.  It's dog friendly, which is great, and it's in a very trendy area.    My only complaint would be related to parking....although there is a parking area, this area can get VERY busy.  I would suggest visiting during an off-peak hour.  On the whole, a great experience!",0,0,0,miércoles,LA
Kevin F.,2021-03-26,"Lower Greenville, Dallas, TX",5,"What an amazing dinner! Each slider was absolutely amazing. We tried the Nashville chicken, sticky chicken, classic and I think the regular chicken. Each slider was prepared as if it were the only one they were making tonight. We were checked on twice by I'm assuming the owner or managers. Only concern was having to wait in line to get a second drink which took some time. Would definitely recommend this place!",0,0,0,viernes,TX
David C.,2021-03-27,"Dallas, TX",4,"Great location and atmosphere, cute clean restaurant with fun and quick service. Boozy shake is a must good delicious",0,0,0,sábado,TX
Bob G.,2021-03-27,"Saint Louis, MO",5,Great sliders and best waffle fries I have had. Three of us went and everyone was very impressed. We ordered ahead and it was right on time for pick up.,0,0,0,sábado,MO
Alisha S.,2021-03-28,"Rowlett, TX",4,"Pretty solid slider spot! This cute little restaurant in the heart of Greenville was perfect for a quick bite. With a variety of slider flavors to choose from, you were sure to find something you'd like. I decided I wanted to try 4 different slider and share them with a friend. We got the burnt ends, Tx philly, Nashville hot chicken, and the popper. The Nashville hot was definitely HOT so be prepared! The popper had pepper jelly which I thoroughly enjoyed (probably my favorite)! The Tx philly was okay to me nothing too special. The burnt ends however was perfect for any bbq lover. The nacho waffle fries were also okay. They weren't spectacular but they sufficed. The cookie butter shake on the other hand was delicious!! I was in a sugar high with that shake!",0,0,0,domingo,TX
